Country,Currency,Region,Full Name,Date
Australia,89.01,Basilicata,Mari Boyer,2023-02-28
Pakistan,84.95,Trentino-Alto Adige,Simone Valentine,2023-03-01
Pakistan,93.55,South Island,Larissa Pollard,2023-03-02
Netherlands,89.73,Thanh Hóa,Elaine Griffin,2023-03-03
Indonesia,27.26,Pennsylvania,Cassandra Ortega,2023-03-04
United Kingdom,64.27,South Chungcheong,Natalie Owen,2023-03-05
Peru,57.59,Ogun,Lana Joseph,2023-03-06
Pakistan,45.65,Georgia,Jaquelyn Rojas,2023-03-07
South Africa,62.85,Limón,Dalton Waters,2023-03-08
Nigeria,37.81,Huádōng,Arsenio Gardner,2023-03-09
Nigeria,90.86,Kincardineshire,Stone Mckinney,2023-03-10
Costa Rica,89.25,Limburg,Leo Dean,2023-03-11
India,88.15,Manitoba,Ignatius Mcintosh,2023-03-12
Germany,56.57,Quảng Nam,Giacomo Hernandez,2023-03-13
Austria,40.33,Eastern Visayas,Hyatt Adkins,2023-03-14
Colombia,91.81,Free State,Roth Hernandez,2023-03-15
Canada,51.11,Luxemburg,Jackson Decker,2023-03-16
Peru,32.61,Île-de-France,Daria Dixon,2023-03-17
United States,19.11,South Island,Cora Lott,2023-03-18
Russian Federation,79.60,Swiętokrzyskie,Nicholas Mosley,2023-03-19
Canada,13.07,Waals-Brabant,Justine Cummings,2023-03-20
Netherlands,36.03,South Island,Martin Cobb,2023-03-21
Sweden,67.98,Riau Islands,Harper Pope,2023-03-22
United Kingdom,37.22,Connacht,Keegan Duran,2023-03-23
Philippines,41.14,Sumy oblast,Justine Chan,2023-03-24
Chile,20.88,Ternopil oblast,Cullen Vinson,2023-03-25
Mexico,0.14,South Island,Walker Mcclure,2023-03-26
Canada,98.71,Antwerpen,Giselle Wall,2023-03-27
Austria,60.51,Friesland,Gil Flynn,2023-03-28
Norway,68.85,Vologda Oblast,Jacob Solis,2023-03-29
United States,89.96,Ogun,Moses Elliott,2023-03-30
New Zealand,87.00,Vestland,Warren Tillman,2023-03-31
Germany,13.23,Magallanes y Antártica Chilena,Cherokee Schneider,2023-04-01
Ireland,28.99,Hồ Chí Minh City,Isabella Rhodes,2023-04-02
